country,iso3c
Ireland,IRL
Brazil,BRA
Fiji,FJI
Israel,ISR
Hong Kong,HKG
Vanuatu,VUT
Iran,IRN
China,CHN
Sri Lanka,LKA
Austria,AUT
Bangladesh,BGD
Chile,CHL
Indonesia,IDN
Argentina,ARG
Greece,GRC
Philippines,PHL
Switzerland,CHE
Lebanon,LBN
Germany,DEU
Poland,POL
Vietnam,VNM
Pakistan,PAK
South Africa,ZAF
India,IND
Sweden,SWE
Cambodia,KHM
New Zealand,NZL
Netherlands,NLD
Norway,NOR
United Arab Emirates,ARE
Taiwan,TWN
United States of America,USA
Singapore,SGP
Croatia,HRV
Malaysia,MYS
"Korea, South",KOR
Japan,JPN
Turkiye,TUR
France,FRA
Thailand,THA
Nepal,NPL
New Caledonia,NCL
Papua New Guinea,PNG
Italy,ITA
Russian Federation,RUS
Colombia,COL
Finland,FIN
Spain,ESP
Canada,CAN
Mexico,MEX
Belgium,BEL
Samoa,WSM
Portugal,PRT
Peru,PER
Denmark,DNK
Saudi Arabia,SAU
